,SKU,DESCRIPTION,YEAR,CAPACITY,URL,PRICE,SELLER_INFORMATION,OFFER_DESCRIPTION,COUNTRY
8678,11549,"Ch Pape Clement,Rouge",2009,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$177.98,Wine Exchange,Pape Clement Pessac Leognan2009Pre-Arrival,USA (CA)
8680,11549,"Ch Pape Clement,Rouge",2009,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$189.00,Hart Davis Hart Wine Co.,"2009Chateau Pape-Clement(750ml),Graves,Pessac-Leognan",USA (IL)
8686,11549,"Ch Pape Clement,Rouge",2009,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$189.97,Wine.com,2009Chateau Pape Clement,USA (CA)
8687,11549,"Ch Pape Clement,Rouge",2009,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$190.00,The Redd Collection,"2009Ch Pape Clement,Rouge",USA (CA)
8688,11549,"Ch Pape Clement,Rouge",2009,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$190.00,Westgarth Wines,2009Pape Clement,USA (CA)
8692,11549,"Ch Pape Clement,Rouge",2009,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$195.00,Morrell & Company,"Pape Clement Pessac-Leognan2009(750ML),Pessac Leognan",USA (NY)
8693,11549,"Ch Pape Clement,Rouge",2009,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$195.99,67 Wine & Spirits NY,Chateau Pape Clement-Pessac-Leognan2009,USA (NY)
8695,11549,"Ch Pape Clement,Rouge",2009,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$199.00,Vinfolio,2009Pape Clement750ML,USA (CA)
8696,11549,"Ch Pape Clement,Rouge",2009,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$199.00,Calvert Woodley,Chateau Pape Clement-Pessac-Leognan2009(750ml),USA (DC)
8697,11549,"Ch Pape Clement,Rouge",2009,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$199.98,Wine Exchange,Pape Clement Pessac Leognan Rouge2009,USA (CA)
8698,11549,"Ch Pape Clement,Rouge",2009,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$199.98,Central Wine Merchants,Chateau Pape-Clement-Pessac-Leognan2009,USA (NJ)
8705,11549,"Ch Pape Clement,Rouge",2009,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$219.00,Sokolin & Co.,2009Pape Clement,USA (NY)
8708,11549,"Ch Pape Clement,Rouge",2009,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$225.00,Bird Rock Fine Wine,Chateau Pape Clement Pessac Leognan2009,USA (CA)
8711,11549,"Ch Pape Clement,Rouge",2009,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$239.99,K&L Wine Merchants,2009Pape Clement Pessac-Leognan,USA (CA)
8712,11549,"Ch Pape Clement,Rouge",2009,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$240.74,Saratoga Wine Exchange,"2009Chateau Pape Clement Pessac Leognan,France,Bordeaux,Graves",USA (NY)
8717,11550,"Ch Pape Clement,Rouge",2010,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2010/-/-/u,$206.00,Wine Cellarage,2010Chateau Pape Clement Pessac Leognan Grand Cru Classe,USA (NY)
8722,11550,"Ch Pape Clement,Rouge",2010,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2010/-/-/u,$218.00,Westgarth Wines,2010Pape Clement,USA (CA)
8723,11550,"Ch Pape Clement,Rouge",2010,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2010/-/-/u,$225.00,European Wine Resource,2010Pape Clement,USA (CA)
8724,11550,"Ch Pape Clement,Rouge",2010,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2010/-/-/u,$225.00,Benchmark Wine Group,Pape Clement2010,USA (CA)
8725,11550,"Ch Pape Clement,Rouge",2010,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2010/-/-/u,$225.00,Vinfolio,2010Pape Clement750ML,USA (CA)
8728,11550,"Ch Pape Clement,Rouge",2010,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2010/-/-/u,$228.00,The Redd Collection,"2010Ch Pape Clement,Rouge",USA (CA)
8742,11550,"Ch Pape Clement,Rouge",2010,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2010/-/-/u,$259.00,Sokolin & Co.,2010Pape Clement,USA (NY)
8743,11550,"Ch Pape Clement,Rouge",2010,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2010/-/-/u,$259.00, Shop,Chateau-Pape-Clement Pessac Leognan2010,USA (NJ)
